qty_dot_url,directory_length,time_domain_activation,qty_slash_directory,length_url,domain_length,asn_ip,qty_slash_url,qty_dot_domain,qty_vowels_domain,file_length
2,-1,-1,-1,18,18,-1,0,2,4,-1
4,88,-1,3,295,50,-1,3,2,15,10
3,14,-1,1,87,35,-1,1,2,8,13
2,37,-1,2,56,19,-1,2,2,1,32
3,55,-1,4,91,16,35278,4,2,2,10
3,21,2709,2,37,16,-1,2,2,5,10
4,37,-1,4,411,16,-1,10,2,5,11
6,27,-1,3,66,39,-1,3,6,11,11
3,13,-1,1,93,38,-1,1,2,8,12
2,-1,-1,-1,28,28,14618,0,2,9,-1
2,-1,-1,-1,17,17,3,0,2,6,-1
3,22,-1,2,82,29,-1,2,2,9,11
4,-1,-1,-1,57,57,15169,0,4,14,-1
5,28,-1,1,47,19,13335,1,3,4,27
1,-1,150,-1,11,11,-1,0,1,4,-1
1,11,1155,1,25,14,54641,1,1,6,10
1,12,-1,2,28,16,-1,2,1,3,5
1,-1,168,-1,16,16,133618,0,1,5,-1
1,-1,52,-1,17,17,-1,0,1,5,-1
